title,description,start_to_end_time,rating,release_at,id,image_url,trailer_url,created_at,updated_at
Pride and Prejudice and Zombies,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",108.0,5.5,2016-02-04,87,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Pandorum,"Two crew members wake up on an abandoned spacecraft with no idea who they are, how long they've been asleep, or what their mission is. The two soon discover they're actually not alone – and the reality of their situation is more horrifying than they could have imagined.",108.0,6.5,2009-09-08,88,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Finest Hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,114.0,6.3,2016-01-25,89,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Frozen Ground,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,105.0,6.1,2013-07-18,90,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Idiocracy,"To test its top-secret Human Hibernation Project, the Pentagon picks the most average Americans it can find - an Army private and a prostitute - and sends them to the year 2505 after a series of freak events. But when they arrive, they find a civilization so dumbed-down that they're the smartest people around.",84.0,6.3,2006-09-01,91,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Frankenweenie,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was.",87.0,6.6,2012-10-04,92,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Sabotage,"In ""Sabotage"", Arnold Schwarzenegger leads an elite DEA task force that takes on the world's deadliest drug cartels. When the team successfully executes a high-stakes raid on a cartel safe house, they think their work is done - until, one-by-one, the team members mysteriously start to be eliminated. As the body count rises, everyone is a suspect.",110.0,5.5,2014-03-28,93,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Criminal,"Bill Pope is a CIA agent on a mission in London tracking down a shadowy hacker nicknamed ""The Dutchman."" When he gets mysteriously ambushed and killed, an experimental procedure is used to transfer his memories into dangerous ex-convict Jericho Stewart. When he wakes up with the CIA agent's memories, his mission is to find The Dutchman and eliminate him before the hacker launches ICBM's and starts World War III. But complications soon arise and the mission turns personal.",113.0,5.7,2016-04-14,94,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The Signal,"Three college students on a road trip across the Southwest experience a detour – the tracking of a computer genius who has already hacked into MIT and exposed security faults. When the trio find themselves drawn to an eerily isolated area, suddenly everything goes dark. When one of the students regains consciousness, he finds himself in a waking nightmare.",95.0,5.8,2014-03-15,95,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Gamer,"Mind-control technology has taken society by a storm, a multiplayer on-line game called ""Slayers"" allows players to control human prisoners in mass-scale. Simon (Lerman) controls Kable (Butler), the online champion of the game. Kable's ultimate challenge becomes regaining his identity and independence by defeating the game's mastermind (Hall).",95.0,5.6,2009-09-03,96,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Reign of Fire,"In post-apocalyptic England, an American volunteer and a British survivor team up to fight off a brood of fire-breathing dragons seeking to return to global dominance after centuries of rest underground. The Brit -- leading a clan of survivors to hunt down the King of the Dragons -- has much at stake: His mother was killed by a dragon, but his love is still alive.",101.0,6.0,2002-07-12,97,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
The 13th Warrior,"In AD 922, Arab courtier, Ahmad Ibn Fadlan accompanies a party of Vikings to the barbaric North to combat a terror that slaughters Vikings and devours their flesh.",102.0,6.4,1999-08-27,98,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
"South Park: Bigger, Longer & Uncut","When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada.",81.0,7.1,1999-06-30,99,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
Evan Almighty,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,96.0,5.3,2007-06-09,100,,,2025-03-12 06:38:12.178091,2025-03-12 06:38:12.178559
